TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.05461597442626953,[['UNKNOWN (TIMEOUT)']]
2,cat,1var,2deg,0.009732246398925781,[['UNKNOWN (TIMEOUT)']]
3,dog,1var,2deg,0.003011941909790039,[['UNKNOWN (TIMEOUT)']]
4,house,1var,2deg,0.002705097198486328,[['UNKNOWN (TIMEOUT)']]
5,elephant,1var,2deg,0.002053499221801758,[['UNKNOWN (TIMEOUT)']]
6,squirrel,1var,2deg,0.00222015380859375,[['UNKNOWN (TIMEOUT)']]
7,enigma,1var,2deg,0.0031690597534179688,[['UNKNOWN (TIMEOUT)']]
8,rabbit,1var,2deg,0.002015352249145508,[['UNKNOWN (TIMEOUT)']]
9,plate,1var,3deg,0.00895237922668457,[['UNKNOWN (TIMEOUT)']]
10,clown,1var,3deg,0.005105018615722656,[['UNKNOWN (TIMEOUT)']]
11,nostalgia,1var,3deg,0.00470280647277832,"[['x', 6]]"
12,heart,1var,3deg,0.0026254653930664062,"[['x', -2]]"
13,home,1var,3deg,0.0030760765075683594,"[['x', 4]]"
14,terminate,1var,3deg,0.002424955368041992,[['UNKNOWN (TIMEOUT)']]
15,rose,1var,3deg,0.005360841751098633,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.005334615707397461,"[['x', -2], ['y', -4]]"
17,unusual,2var,2deg,0.008314847946166992,[['UNKNOWN (TIMEOUT)']]
18,faint,2var,2deg,0.007654905319213867,[['UNKNOWN (TIMEOUT)']]
19,machine,2var,2deg,0.002892732620239258,[['UNKNOWN (TIMEOUT)']]
20,small,2var,2deg,0.004407644271850586,"[['x', 1], ['y', -2]]"
21,waste,2var,3deg,0.0012962818145751953,[['UNSAT']]
22,touch,2var,3deg,0.0019288063049316406,[['UNKNOWN (TIMEOUT)']]
23,moon,2var,3deg,0.007802486419677734,[['UNKNOWN (TIMEOUT)']]
24,inertia,2var,3deg,0.011447668075561523,[['UNKNOWN (TIMEOUT)']]
25,email,2var,3deg,0.0025033950805664062,"[['x', 0], ['y', 0]]"
26,oblong,2var,3deg,0.002258777618408203,"[['x', 0], ['y', 0]]"
27,forget,2var,3deg,0.0032765865325927734,[['UNKNOWN (TIMEOUT)']]
28,train,3var,2deg,0.0023543834686279297,[['UNKNOWN (TIMEOUT)']]
29,beast,3var,2deg,0.014077901840209961,"[['x', 2], ['y', -4], ['z', 5]]"
30,doctor,3var,2deg,0.0027196407318115234,[['UNKNOWN (TIMEOUT)']]
31,vampire,3var,2deg,0.012971878051757812,"[['x', 2], ['y', -4], ['z', 2]]"
32,robot,3var,3deg,0.023154497146606445,"[['x', 4], ['y', -4], ['z', 1]]"
33,professor,3var,3deg,0.0028638839721679688,[['UNKNOWN (TIMEOUT)']]
34,titanium,3var,3deg,0.0024251937866210938,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,0.0021529197692871094,[['UNKNOWN (TIMEOUT)']]
36,tank,3var,3deg,0.0020296573638916016,[['UNKNOWN (TIMEOUT)']]
37,western,3var,3deg,0.03781247138977051,[['UNKNOWN (TIMEOUT)']]
38,motor,3var,3deg,0.0037298202514648438,[['UNKNOWN (TIMEOUT)']]
Totals: 38,n/a,0.27718186378479004s,"10 SAT, 1 UNSAT, 27 UNKNOWN"
