TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.016952037811279297,[['UNKNOWN (TIMEOUT)']]
2,cat,1var,2deg,0.0030972957611083984,[['UNKNOWN (TIMEOUT)']]
3,dog,1var,2deg,0.0026466846466064453,[['UNKNOWN (TIMEOUT)']]
4,house,1var,2deg,0.0024106502532958984,[['UNKNOWN (TIMEOUT)']]
5,elephant,1var,2deg,0.0021872520446777344,"[['x', 2]]"
6,squirrel,1var,2deg,0.006697177886962891,[['UNKNOWN (TIMEOUT)']]
7,enigma,1var,2deg,0.0017795562744140625,"[['x', 7]]"
8,rabbit,1var,2deg,0.0018208026885986328,"[['x', (- 1)]]"
9,plate,1var,3deg,0.0022182464599609375,[['UNKNOWN (TIMEOUT)']]
10,clown,1var,3deg,0.002367734909057617,[['UNKNOWN (TIMEOUT)']]
11,nostalgia,1var,3deg,0.0025987625122070312,"[['x', (- 1)]]"
12,heart,1var,3deg,0.0017383098602294922,"[['x', (- 2)]]"
13,home,1var,3deg,0.0030221939086914062,"[['x', 1]]"
14,terminate,1var,3deg,0.001522064208984375,[['UNSAT']]
15,rose,1var,3deg,0.0023605823516845703,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.0025243759155273438,[['UNKNOWN (TIMEOUT)']]
17,unusual,2var,2deg,0.002100229263305664,[['UNKNOWN (TIMEOUT)']]
18,faint,2var,2deg,0.002241373062133789,[['UNKNOWN (TIMEOUT)']]
19,machine,2var,2deg,0.0021593570709228516,"[['x', 13], ['y', 7]]"
20,small,2var,2deg,0.0021910667419433594,[['UNKNOWN (TIMEOUT)']]
21,waste,2var,3deg,0.0010995864868164062,[['UNSAT']]
22,touch,2var,3deg,0.0026476383209228516,[['UNKNOWN (TIMEOUT)']]
23,moon,2var,3deg,0.0014951229095458984,[['UNSAT']]
24,inertia,2var,3deg,0.002059459686279297,[['UNKNOWN (TIMEOUT)']]
25,email,2var,3deg,0.0016295909881591797,"[['x', 0], ['y', 0]]"
26,oblong,2var,3deg,0.0013508796691894531,"[['x', 0], ['y', 0]]"
27,forget,2var,3deg,0.0020864009857177734,[['UNKNOWN (TIMEOUT)']]
28,train,3var,2deg,0.002330780029296875,[['UNKNOWN (TIMEOUT)']]
29,beast,3var,2deg,0.0019080638885498047,"[['x', 8], ['y', 0], ['z', 61]]"
30,doctor,3var,2deg,0.002513885498046875,[['UNKNOWN (TIMEOUT)']]
31,vampire,3var,2deg,0.0018620491027832031,"[['x', 1], ['y', 0], ['z', 6]]"
32,robot,3var,3deg,0.0020270347595214844,"[['x', (- 1)], ['y', 0], ['z', 0]]"
33,professor,3var,3deg,0.0021538734436035156,[['UNKNOWN (TIMEOUT)']]
34,titanium,3var,3deg,0.0020341873168945312,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,0.002169370651245117,[['UNKNOWN (TIMEOUT)']]
36,tank,3var,3deg,0.00197601318359375,"[['x', 3], ['y', 0], ['z', 271]]"
37,western,3var,3deg,0.0021893978118896484,[['UNKNOWN (TIMEOUT)']]
38,motor,3var,3deg,0.002054452896118164,[['UNKNOWN (TIMEOUT)']]
Totals: 38,n/a,0.10022354125976562s,"13 SAT, 3 UNSAT, 22 UNKNOWN"
